Date,Open,High,Low,Close,Adj Close,Volume
7/25/2017,67.980003,68.720001,67.940002,68.440002,62.905804,3131100
7/26/2017,68.510002,68.529999,67.800003,67.989998,62.492184,3356800
7/27/2017,68,68.830002,66.610001,67.589996,62.124519,4377800
7/28/2017,67.470001,67.580002,65.949997,66.690002,61.29731,7105600
7/31/2017,67.080002,69.440002,66.879997,68.970001,63.392933,7354800
8/1/2017,69.349998,69.75,68.730003,68.82,63.25507,5330100
8/2/2017,68.610001,69.169998,68.300003,68.5,62.960941,3724900
8/3/2017,68.220001,68.639999,68.059998,68.5,62.960941,3342700
8/4/2017,68.5,68.93,68.300003,68.529999,62.988518,3201800
8/7/2017,67.949997,68.529999,67.75,68,63.146385,2671900
8/8/2017,67.669998,67.940002,67.349998,67.790001,62.951363,3114700
8/9/2017,67.650002,67.93,66.610001,66.93,62.152756,3498100
8/10/2017,66.800003,66.989998,65.75,66.199997,61.47485,3425100
8/11/2017,66.150002,66.400002,65.849998,66.150002,61.428432,2330000
8/14/2017,66.470001,67.010002,66.389999,66.790001,62.022743,3034300
8/15/2017,66.660004,67.32,66.610001,67.150002,62.357056,4079300
8/16/2017,67.260002,67.5,65.860001,65.989998,61.279846,2807500
8/17/2017,65.669998,65.709999,64.470001,64.550003,59.942631,3358400
8/18/2017,64.449997,65.459999,64.220001,64.75,60.128357,3082600
8/21/2017,64.660004,64.949997,64.449997,64.699997,60.081921,2463900
8/22/2017,64.900002,65.720001,64.5,65.580002,60.899105,2865800
8/23/2017,65.220001,66,65.099998,65.709999,61.019833,2808700
8/24/2017,65.699997,68,65.699997,67.440002,62.626347,5492000
8/25/2017,67.790001,68.809998,67.559998,67.669998,62.839931,3915900
8/28/2017,68.900002,69.790001,68.239998,68.419998,63.536388,6445800
8/29/2017,68.230003,68.949997,67.779999,67.919998,63.07209,3557700
8/30/2017,68.519997,68.870003,68.080002,68.410004,63.527122,3248100
8/31/2017,68.650002,68.720001,67.309998,68.099998,63.239243,4434400
9/1/2017,68.110001,69.510002,67.82,69.199997,64.260719,3954400
9/5/2017,68.589996,68.709999,67.239998,67.910004,63.062809,4581400
9/6/2017,68.230003,68.769997,67.709999,68.110001,63.248531,4428800
9/7/2017,68.330002,69.099998,68.110001,68.860001,63.944996,3675900
9/8/2017,68.860001,70.279999,68.730003,69.540001,64.576462,3771300
9/11/2017,69.769997,69.970001,68.800003,69.809998,64.827187,3287700
9/12/2017,70,70.660004,69.82,70.209999,65.198616,2629200
9/13/2017,70.550003,71.169998,70.25,71,65.932251,4122500
9/14/2017,70.900002,71.059998,69.529999,69.940002,64.947914,4494000
9/15/2017,69.980003,71.510002,69.980003,71.129997,66.052971,6859900
9/18/2017,71.230003,72.440002,71.139999,72.199997,67.0466,3823700
9/19/2017,72.199997,73.199997,71.559998,72.709999,67.520195,3870200
9/20/2017,73.029999,73.379997,72.510002,73.18,67.956642,3255600
9/21/2017,73.089996,73.870003,72.839996,73.360001,68.123802,3106100
9/22/2017,73.25,74.360001,73.150002,74.290001,68.987411,3263900
9/25/2017,74.629997,75.260002,74.349998,75.120003,69.758186,3461000
9/26/2017,75.019997,75.75,74.809998,74.959999,69.609596,3287900
9/27/2017,74.889999,75.879997,74.410004,75.470001,70.083191,4516000
9/28/2017,75.809998,76.919998,75.550003,76.739998,71.26255,6079400
9/29/2017,76.760002,77.769997,76.620003,76.93,71.438988,4442200
10/2/2017,76.730003,77.400002,76.410004,77.050003,71.55043,3141300
10/3/2017,76.879997,77.660004,76.760002,77.57,72.033302,3194700
10/4/2017,77.389999,77.82,76.940002,77.690002,72.144745,2669900
